"","Start_Year","District","Just_Seat_Num","Winner_Name","fund_perc","fund_perc_alt","Total_Rs","Ruling_Party_Margin","same_party","Vic_Mar","Previous_MNA","Previous_MNA_Terms","Min_CurrentOrPast","Min_CurrentOrPast_Imp","Election_Year","Turnout_perc","Reg_Voters","Rej_Votes","Num_Cand","ENP_Method1","MofV_sq","MofV_cu","RP_Margin_quar","pmln_gov","zero_to_elec"
"84",1993,"Chakwal",44,"Sardar Mumtaz Khan",91.36,91.36,4.568,0.054957155695065,1,0.054957155695065,0,0,0,0,1993,56.17197054,281304,1711,4,2.281782837,0.00302028896209162,0.000165986490733755,9.12214541453245e-06,0,1
"85",1994,"Chakwal",44,"Sardar Mumtaz Khan",97.1,97.1,4.855,0.054957155695065,1,0.054957155695065,0,0,0,0,1993,56.17197054,281304,1711,4,2.281782837,0.00302028896209162,0.000165986490733755,9.12214541453245e-06,0,0
"86",1995,"Chakwal",44,"Sardar Mumtaz Khan",132,100,6.6,0.054957155695065,1,0.054957155695065,0,0,0,0,1993,56.17197054,281304,1711,4,2.281782837,0.00302028896209162,0.000165986490733755,9.12214541453245e-06,0,0
"87",1996,"Chakwal",44,"Sardar Mumtaz Khan",0,0,0,0.054957155695065,1,0.054957155695065,0,0,0,0,1993,56.17197054,281304,1711,4,2.281782837,0.00302028896209162,0.000165986490733755,9.12214541453245e-06,0,0
"88",1998,"Chakwal",43,"Malik Abdul Majeed",132.8,100,6.64,0.420267625324546,1,0.420267625324546,1,3,1,0,1997,41.16853859,304055,2364,7,1.825351167,0.176624876895933,0.074229717586294,0.0311963471385035,1,0
"89",1998,"Chakwal",44,"Sardar Mansoor Hayat Tamman",0,0,0,0.284047641242229,1,0.284047641242229,1,2,0,0,1997,48.78116179,285887,3930,4,1.963177621,0.080683062495274,0.0229178335899819,0.00650975657361629,1,0
"90",1991,"DGKhan",132,"Sardar Muhammad Amjad Farooq Khan",218.3,100,10.915,0.160566295894567,1,0.160566295894567,0,0,0,0,1990,41.10974782,343123,1434,6,2.105286362,0.0257815353773016,0.00413964563800806,0.000664687566411056,1,0
"91",1992,"DGKhan",132,"Sardar Muhammad Amjad Farooq Khan",152.6,100,7.63,0.160566295894567,1,0.160566295894567,0,0,0,0,1990,41.10974782,343123,1434,6,2.105286362,0.0257815353773016,0.00413964563800806,0.000664687566411056,1,0
"92",1993,"DGKhan",132,"Khawaja Kamal-ud-Din Anwar",38,38,1.9,0.0167743538767395,1,0.0167743538767396,1,1,0,0,1993,41.06343596,352781,2086,4,2.299866391,0.000281378947982085,4.71995004691618e-06,7.91741123675052e-08,0,1
"93",1994,"DGKhan",132,"Khawaja Kamal-ud-Din Anwar",66.48,66.48,3.324,0.0167743538767395,1,0.0167743538767396,1,1,0,0,1993,41.06343596,352781,2086,4,2.299866391,0.000281378947982085,4.71995004691618e-06,7.91741123675052e-08,0,0
"94",1995,"DGKhan",132,"Khawaja Kamal-ud-Din Anwar",84,84,4.2,0.0167743538767395,1,0.0167743538767396,1,1,0,0,1993,41.06343596,352781,2086,4,2.299866391,0.000281378947982085,4.71995004691618e-06,7.91741123675052e-08,0,0
"95",1996,"DGKhan",132,"Khawaja Kamal-ud-Din Anwar",0,0,0,0.0167743538767395,1,0.0167743538767396,1,1,0,0,1993,41.06343596,352781,2086,4,2.299866391,0.000281378947982085,4.71995004691618e-06,7.91741123675052e-08,0,0
"96",1998,"DGKhan",132,"Sardar Muhammad Amjad Farooq Khan",0,0,0,0.0926945140400597,1,0.0926945140400597,1,1,0,0,1997,37.93460732,385089,3828,7,2.256273638,0.00859227293312282,0.000796456564035379,7.38271541572751e-05,1,0
"97",1991,"DGKhan_cum_Rajanpur",133,"Sardar Farooq Ahmad Khan Laghari",70.46,70.46,3.523,-0.142499502147876,0,0.142499502147876,1,1,0,0,1990,42.59488149,330096,2340,3,2.11499615,0.0203061081123925,-0.00289361029657688,0.000412338026672173,1,0
"98",1992,"DGKhan_cum_Rajanpur",133,"Sardar Farooq Ahmad Khan Laghari",35,35,1.75,-0.142499502147876,0,0.142499502147876,1,1,0,0,1990,42.59488149,330096,2340,3,2.11499615,0.0203061081123925,-0.00289361029657688,0.000412338026672173,1,0
"99",1993,"DGKhan_cum_Rajanpur",133,"Sardar Farooq Ahmad Khan Laghari",94.4,94.4,4.72,0.301767490512143,1,0.301767490512143,1,2,1,1,1993,40.6050821,367289,2257,2,1.828347898,0.0910636183299963,0.0274800395803986,0.00829258258335124,0,1
"100",1994,"DGKhan_cum_Rajanpur",133,"Sardar Farooq Ahmad Khan Laghari",158.96,100,7.948,0.301767490512143,1,0.301767490512143,1,2,1,1,1993,40.6050821,367289,2257,2,1.828347898,0.0910636183299963,0.0274800395803986,0.00829258258335124,0,0
"101",1995,"DGKhan_cum_Rajanpur",133,"Sardar Farooq Ahmad Khan Laghari",195.5,100,9.775,0.301767490512143,1,0.301767490512143,1,2,1,1,1993,40.6050821,367289,2257,2,1.828347898,0.0910636183299963,0.0274800395803986,0.00829258258335124,0,0
"102",1996,"DGKhan_cum_Rajanpur",133,"Sardar Farooq Ahmad Khan Laghari",0,0,0,0.301767490512143,1,0.301767490512143,1,2,1,1,1993,40.6050821,367289,2257,2,1.828347898,0.0910636183299963,0.0274800395803986,0.00829258258335124,0,0
"103",1998,"DGKhan_cum_Rajanpur",133,"Sardar Muhammad Jafar Khan Leghari",0,0,0,-0.14461298175013,0,0.14461298175013,0,0,0,0,1997,38.75187437,366790,4240,7,2.585644306,0.0209129144906634,-0.00302427892158034,0.0004373499924938,1,0
"104",1991,"Faisalabad",57,"Sardar Dildar Ahmad Cheema",105.48,100,5.274,0.118602924377427,1,0.118602924377427,0,0,0,0,1990,55.27758374,253383,1268,7,2.117042859,0.0140666536708777,0.00166834626157056,0.000197870745496416,1,0
